Feedback,professor
"비록 학점은 잘 받지 못했지만 그래도 수업 내용은 좋았습니다. 교수님이 일단 유쾌하시고 유하십니다. 뭔가를 못 했다고 나무라신 적이 단 한번도 없으십니다. 과제는 2주에 한 번 아이캠에 10줄 이상 글쓰기가 있는데 20분도 안 걸리고 내용 평가는 하지 않습니다. 그냥 자기 경험이 들어가면 만점이라 부담도 안되고, 말이 2주에 한 번이지 그냥 교수님이 예고해 주는 날만 하면 되는 거여서 이번 학기에는 네 번 밖에 안했네요. 성선설에 대한 강의이고, 수업시간에 주는 토론 주제에 대해 토론하고 그냥 랜덤으로 발표 시키는데 전혀 부담없는 그냥 앞에 나가서 줄줄 읽기만 하고 들어오는 그런 거라 걱정 안하셔도 될 듯 합니다. 받은 학점은 높지 않지만 교수님이 정말 좋으신 분이시라 저는 정말 이 강의를 듣길 잘했다고 생각합니다. 아 그리고 시험 스타일은 많이 바뀌신듯. 예상 문제 나눠주고 그런거 없어요. 수업 시간에 꼭 집중하시길. 피피티는 나중에 시험기간에 올려주시는데 수업 시간에 중요하다고 강조하신 부분은 빼고 올리십니다. 수업을 잘 들으세요.",이주강
"시험은 문제은행식으로, 낸다고한것중에서만 내는데 그마저도 많지 않아서 노력한만큼 점수 나올듯.",이주강
"매주 과제가 인터넷에 글 쓰는건데, 부담가질필요가 없음",이주강
분량 상관 없어서 처음에는 한줄 쓰는 사람도 있었는데 나중에는 자기가 알아서 길게 씀,이주강
발표도 하는데 이것도 처음에는 다들 부담스러워하다가 나중에는 모두 자연스러워짐,이주강
뜻도모르고 한문만 배우는 씹선비스타일의 논어수업이 아니라  삶에 녹아드는 논어수업이라 매우 가치가 있다고 생각함,이주강
단언컨대  최고의  논어입니다,이주강
다음학기는 안 열리는 듯?,이주강
언제라도 열리면 꼭 들으시길,이주강
논어 수업들을거라면 이주강 교수님 강추합니다. 조금의 귀찮음을 감수하고 좋은 학점을 얻고싶다면 더욱이요.,이주강
주마다 카페에 가서 조금씩 글쓰고 그걸 수업시간에 발표하는데 뭐..그닥 어렵지 않습니다. 글쓴다해도 그냥 자신의 생각을,이주강
"간단히 쓰는거구요. 젤 중요한건 시험만 잘보면 되구요, 교수님이 시험에 나온다고 하는 것만 나오기때문에 수업만 잘들으면 걱정없습니다. 당일날 공부 3",이주강
4시간 정도면 충분히 다 커버칩니다.,이주강
강의가 재미있어서 얻을게 많음. 추천합니다.,이주강
정말 논어 수업 중 최고라고 자부합니다,이주강
매주 글쓰고 발표를 하지만 점수가 매겨진다기보다는 하면 인정되고 안 하면 감점인데다 분량 자유..심지어 한문장만 써도 괜찬구요 그리고 그 주제도 일상적인 거라 지하철같은데서 좀만 써도 괜찮습니다. 그리고 시험은 교수님이 집어주시는 데서만 나와요 꿀이면서도 많은 것을 얻어가는 수업입니다,이주강
킹갓킹갓,성시훈
정말 좋습니다,성시훈
팀플 한번도 없고 발표 없고 레포트 엄청 조금만 있음,성시훈
한자 안외우고 학점 잘주심,성시훈
좋아요,성시훈
다른 논어에 비해 과제가 적은편이에요 공통과제인 글쓰기 4장 빼고는 학생들에게 부담을 주지않는 과제를 내주고싶다고 말씀하셨었어요 ,성시훈
한자문제 안내심! 책과 피피티인데 중간은 양이 적고 기말은 조금 있어요 그래도 암기하려고 느리게 읽지않고 책 피피티 두번정도만 읽어도 시험잘볼수있는 정도입니다 ,성시훈
출석은 매번 부르십니다,성시훈
논어라서 걱정했는데 알기 쉽게 중요한 부분 집어가며 설명해주셨습니다. 논어라는 이름만 들어도 학점 걱정이 된다면 성시훈 교수님 들으세요. ,성시훈
한자는 한 두 문제씩 나오는데 외울 글자가 손가락으로 셀수 있을 정도고 셤기간에 이런 한자 중요하니 외우라고 다 알려주셔요. 한자 쓸 필요는 없습니다. 중간 때 논어의 특정 내용에 대해 자신이 어떻게 생각하는지 묻기도 했습니다. 근데 양 적당히 채우고 성의만 보이면 점수는 안깎는듯.,성시훈
시험지 개인적으로 차례로 보여주시고 이의제기 받으십니다.,성시훈
다른 논어 수업에 비해 과제도 적고 팀플도 없어요. 교수님이 성격이 좋으세요.,성시훈
한자 없음,성시훈
헛소리 없음,성시훈
학생들 배려해줌,성시훈
갓갓,성시훈
반드시 들으세요 이 강의는 레알루다가 꿀입니다,성시훈
성갓갓,성시훈
갓시갓,성시훈
갓갓훈,성시훈
성 : 성시훈은,성시훈
시 : 논어원탑,성시훈
훈 : 갓교수다,성시훈
ㄹㅇ 논어중에 제일좋은듯 한자 없고 과제 ㄹㅇ 적고 공부 하루전에 쓱훑어도 개잘나옴,성시훈
교수님이 개방적인 분이시라,성시훈
 현대적인?,성시훈
  젊은 교수님이라 좋은 것 같습니다,성시훈
수업도 재미있고  한자도 알필요 없고 시험준비도 무난한 것 같아요,성시훈
과제도 부담없는편이구,성시훈
"다른 성균논어 수업과는 다르게 한자나 논어 위주의 수업이나 과제가 없고 지루하지 않습니다. 교수님이 재미있게 수업하시려고 웹툰, 동영상, 자료 등 많이 들고 오셔서 이해를 도우시려고 노력하고 저희가 집중할 수 있게 수업하시는 것 같습니다. 과제는 두세번 정도 간단하게 있으며 시험도 교재 보다는 수업자료위주로 한번 훑어보고 가시면 될거 같습니다. 이 교수님이 성균논어 수업을 처음 맡게 되신거 같았는데 다른 평점 높은 성균논어 교수님 강의 들으려다가 이 강의 듣게 되었는데 절대 후회안하고 오히려 더 좋고 이번에 이 수업을 듣길 잘했던 것 같습니다. 강추합니다",성시훈
이 정보를 확인하기 위해 포인트를 사용하시겠습니까. 포인트를 사용하시겠습니까. 이 시험 정보를 확인하기 위해 포인트가 차감됩니다,성시훈
이 정보를 확인하기 위해 포인트를 사용하시겠습니까. 포인트를 사용하시겠습니까. 이 시험 정보를 확인,성시훈
교수님께서 지루하지 않게 수업을 잘 합니다. 시험 내용도 문제를 미리 알려주시기 때문에 무난하다고 생각합니다. 시험은 논어 원문 한자 번역 문제와 주제에 맞는 글쓰기입니다. 한국어 번역만 외워가면 되기 때문에 크게 어렵지는 않아요. 글쓰기 문제가 비중이 더 높기 때문에 글에 자신있으신 분이 들으면 좋을 것 같네요.,이선열
논어 수업이라고 하면 지루하고 재미없을거 같은데 교수님께서 쉽고 재미있게 설명해주셔서 좋았어요!  그리고 시험에 한자 외우는게 없어서 좋아요!  그런데 시험의 평가기준을 모르겠어요.,이선열
되게 괜찮은 수업 지루하지도 않고 그렇다고 무의미하지도 않았다,이선열
아침수업이라 지각 결석 학생들에 대한 페날티도 확실하고 다양한 방식으로 학점을 산정한다 교수님 준비도 열심히 하시고 쓴소리도 듣기 좋앗다,이선열
팀플 한 번밖에 없고 질문도 하고 싶은 거 부담 없이 할 수 있는 자유로운 분위기여서 좋았습니다 교수님도 열정적이시고 중간에 글 쓰는 과제 내주시는데 글쓰기 실력도 보시지만 노력을 더 중시하시는 거 같아서 예상보다 학점도 괜찮게 받아서 성균논어 들을거면 이선열 교수님꺼 듣는 거 추천해드릴게요,이선열
상위권 경쟁이 치열해서 90점대도 비쁠을 받을 수 있다. 하지만 그것만 빼고는 정말 다 좋다.... 아홉시 수업에다 출석,이선열
성실성,이선열
"을 매우 중요시하셔서 좀 걱정될 수도 있겠지만, 적응만 하면 쉽게 20점 정도를 호로록할 수 있어 아주 좋다. 교수님 열정이 정말 가득하시고, 논어 내용을 현대와 연결 짓고 쉽게 풀어서 재밌게 설명해주시는데 이게 진짜 좋다ㅠㅠ 덕분에 유학과 논어에 대한 편견을 깰 수 있었다. 대형강의인데도 학생들 이름 다 외워주시고... 너무 좋음. 어차피 들어야 할 논어라면, 이선열 교수님 들으세요!!!!! 짱짱!!! 아 그리고 평상시에 궁금한 거나 시험 후 피드백, 최종 성적에 대한 피드백 정말정말 자세하고 친절하게 다 가르쳐주심! 정말ㅠㅠ 최고... 고등학교 선생님처럼 잘 해주심... 아 그냥 들으세요 짱이니까",이선열
"강의 재밌고, 얻어갈 것도 있고, 학점도 잘 주시는 것 같고, 그중에서도 교수님의 열의가 느껴지는 게 단연 백미.",이선열
논어 최고의 꿀강같습니다. 팀플 한번에 과제 한번 밖에 없고 시험도 한자원문 해석 문제랑 서술형문제를 내는데 서술형문제는 질문을 미리 알려주십니다. 번역문제는 세시간 정도만 열심히 외우면 거의 됩니다. 할 건 진짜 없는 수업같습니다. 다만 글쓰기에 자신 있으신 분들이 들으시는걸 추천합니다,이선열
아침강의인거 뺴고는 전반적으로 만족스러운 강의였습니다.,이선열
과제는 에세이 제출인데 천천히 계획세워서 하면 어렵지 않습니다. 팀플은 인의예지에 관한 자유발표인데 그렇게 부담되는 발표는 아닙니다. ,이선열
시험문제는 논어구절 번역과 논술형 문제로 보게 되는데 논술형 문제가 전형적으로 '말빨터는' 성격이 강합니다. 따라서 글빨에 자신있는 분들은 추천드립니다. 게다가 출제할 문제도 미리 알려주기 때문에 미리 생각해가서 하면 시험 보는데 큰 지장이 없습니다. ,이선열
다만 필자는 논술전형으로 합격했지만 중간을 망쳤습니다. ,이선열
"번역의 경우, 양이 그렇게 많은 편은 아니라서 하루이틀만 바짝 공부해도 수월하게 적어갈 수 있습니다.  수업시간에 교수님 말 잘 듣고 열심히 참여하면 정말 좋은 강의라고 생각합니다.",이선열
"과제 한 번, 팀플 한 번에 그것도 하루 정도 날잡고 하면 해치울 수 있는 수준입니다. 시험이 논어 구절 외우는 것뿐만 아니라 논술형 문항도 나오니 내가 입을 잘 털 수 있다는 분께 강력추천드립니다. 그리고 제가 2017 1학기 중간고사 시험 정보 올린 사람인데, 생각해보니 시험 전에 교수님이 논어 구절 제외한 예상문제를 올려주시기 때문에 저 정보는 필요가 없네요. 쪽지는 보내지 마시구, 혹시나 포인트 낭비하신 분 있다면 심심한 위로 드려요.",이선열
논어를 들으실 거라면 이선열 교수님을 꼭 들으시길. 최고의 꿀강이자 교수님이 너무 자상하시고 좋으십니다. 60명 특히나 외국인 분들이 20명정도 됐던 강의에서 그 이름을 하나하나 기억하고 부르신다는 게 감동입니다.. 물론 출석 빠지고 싶거나 수업 안듣고 딴짓할 때 이름을 아신다는 건 부담이겠지만 수업이 정말 자유롭고 과제도 딱 한번이고 시험도 논술이지만 문제를 미리 알려주신다는 점에서 부담될 일이 없습니다. 오히려 출석 놓칠 때 저를 보시면서 다시 불러주실 때 정말 기분 좋고 교수님과 소통하는 기분이 듭니다. 논술 문제들은 먼저 알려주시니까 그에 해당되는 수업 내용과 교재부분을 생각해서 개요를 짜두시면 논술 점수는 거의 만점 받을 수 있었어요. 외국인 분들이 많으셔서.. 그리고 논어 원문 외우는 것도 있는데 한 시험 당 20개 구절 정도밖에 안 외워서 다른 논어 수업에 비해 부담될 게 하나도 없었습니다! 조별 발표가 있긴 한데 그건 부담이 많이 안돼요! 논어 인의예지에서 자유 주제로 그냥 자유롭게 발표하면 되는데 한 조당 외국인 특히 중국인 분들이 한두명 계셔서 그게 좀 어려운 거 빼고는 나름 좋았습니다. 힘든 점이라면 9시수업이었다는 것 뿐 교수님 정말 좋아요 사랑합니당,이선열
amp,이선열
lt,이선열
이 정보를 확인하기 위해 포인트를 사용하시겠습니까. 포인트를 사용하시겠습니까. 이 시험 정보를 확인하기 위해 포인트가 차감됩니다. 사용하시겠습니까. 이 정보를 확인하기 위해 포인트를 사용하시겠습니까. 포인트를 사용하시겠습니까. 이 시험 정보를 확인하기 위해 포인트가 차감됩니다. 사용하시겠습니까. 이 정보를 확인하기 위해 포인트를 사용하시겠습니까. 포인트를 사용하시겠습니까. 이 시험 정보를 확인하기 위해 포인트가 차감됩니다. 사용하시겠습니까.,김세종
이 정보를 확인하기 위해 포인트를 사용하시겠습니까. 포인트를 사용하시겠습니까. 이 시험 정보를 확인하기 위해 포인트가 차감됩니다. 사용하시겠습니까. 이 정보를 확인하기 위해 포인트를 사용하시겠습니까. 포인트를 사용하시겠습니까. 이 시험 정보를 확인하기 위해 포인트가 차감됩니다. 사용하시겠습니까. 이 정보를 확인하기 위해 포인트를 사용하시겠습니까. 포인트를 사용하시겠습니까. 이 시험 정보를 확인하기 위해 포인트가 차감됩니다. 사용하시겠습니까.,김세종
이 정보를 확인하기 위해 포인트를 사용하시겠습니까. 포인트를 사용하시겠습니까. 이 시험 정보를 확인하기 위해 포인트가 차감됩니다. 사용하시겠습니까. 이 정보를 확인하기 위해 포인트를 사용하시겠습니까. 포인트를 사용하시겠습니까. 이 시험 정보를 확인하기 위해 포인트가 차감됩니다. 사용하시겠습니까. 이 정보를 확인하기 위해 포인트를 사용하시겠습니까. 포인트를 사용하시겠습니까. 이 시험 정보를 확인하기 위해 포인트가 차감됩니다. 사용하시겠습니까.,김세종
1326704,김세종
중간고사 개쉬웠음. 기말고사 제시된 주제들 중 마음에 드는걸 골라서 본인의 생각만 잘 쓰면 됨. 과제 두개인데 1은 수업시작때 돌아가면서 하는 짧은 발표 대본 작성. 2는 주제에 대한 본인의 의견이 담긴 보고서 작성. 수업 전혀 부담없고 성적도 잘받아서 기분좋음,김세종
"갓세종교수님! 엄청 친절하시고 수업을 듣지는 않아도 성적과 무방하지만, 그래도 도움이 많이 되는 수업이었습니다. 시험은 ",김세종
군군신신부부자자 임금은 임금답고 신하는 신하답고......  여기서 신신을 빼고 뜻을 주고 나서 적어라 or 뜻을 주고 한문을 신신 적어라 식으로,김세종
 중간 한문문장에서 단어 2,김세종
"4정도 채우는 거나, 그 부분의 뜻을 적는 형식이었고 기말은 ",김세종
실천이 어려운가 생각이 어려운가? or 광역버스에 할아버지가 서계시는데 자리가 없을때 일어날 것인가 계속 앉아 있을 것인가? ,김세종
도덕성 평가 x,김세종
 자기 생각만 일목요연하게 적으면 됨,김세종
수업을 안 들어도 학점 받는데에는 별 영향이 없음.,김세종
수업을 그냥 들어도 얻는게 많다고 듣는 사람도 꽤 있는 것 같지만 내 취향은 아니었음.,김세종
발표 1번을 꼭 하게되는데 그냥 대본 기한까지 올리고 대본 그대로 보고 읽어도 크게 학점에 영향은 없음.,김세종
중간은 그냥 고사성어 한자랑 의미 달달 외우는 거였는데 다들 다 맞거나 하나정도 틀리는 정도. 외우는건 생각보다 오래 안 걸렸음.,김세종
과제랑 기말은 주제에 대해서 자기 생각 서술하는 거였는데 이거만 잘하면 A,김세종
 가능한 듯.,김세종
수업은 그냥 들어도 얻는게 많고,김세종
과제는 발표 한번이 끝,김세종
근데 운 좋으면 영상자료나 공휴일 등으로 그마저도 안함,김세종
발표문은 원래 기한으로 제출,김세종
시험 중간은 한자 암기인데 쉽고 빈칸채우기령,김세종
시험 기말은 여러 주제 중 하나 골라 쓰는건데,김세종
자기 생각을 잘 정리해서 적을 수 있으면 됨,김세종
저는 에이쁠인데 왜 제가 에이쁠인지 모르겠습니다... 그냥 열심히 자기 생각 표현하시는게 제일 중요한거 같아요! 교수님께서 수업시간에 무슨 짓을 해도 점수에 반영하시지 않는다고도 하셨고 어느 정도는 자유로운 수업 분위기입니다! ,김세종
중간고사는 생암기지만 사실 분량이 너무 적어 이번학기엔 채점을 많이 까다롭게 하셨습니다. 제가 ',김세종
해라'라고 적었는데 교재에 ',김세종
하라'라고 적혀 있다고 틀렸습니다. 이부분은 해마다 다른거 같으니 크게 신경쓰지 마시고 암기만 확실히 하시면 됩니다!,김세종
중간고사  끝나고 과제가 하나 나옵니다. 학기초부터 주제부터 시작해 마감 시한까지 학생들에게 물어보며 함께 정해주십니다. 이 과제는 그닥 어렵지 않습니다. 자기생각 열심히 쓰시면 됩니다.,김세종
그리고 김세종 교수님 논어 수업의 하이라이트인 발표! 발표는 각 주차 수업할 챕터에서 인상깊은 구절들을 꼽아 그에 대한 자신의 생각을 말하는 것입니다. 주마다 5명씩 매주 있습니다. 저는 발표를 앞쪽에 했었는데 상대적으로 정보가 적어 미숙한 내용이었습니다. 하지만 너무 얼지 마시고 토론한다는 느낌으로 자신감 있게 하시면 됩니다!,김세종
남들과 비교마시고 자기 페이스대로 열심히 수업 따라가시면 좋은 학점 받을 수 있는거 같아요!,김세종
초임교수님이시라 강의에 약간 미숙한 부분도 보이지만 정말 학생들 생각많이 해주시고 어떻게하면 의미있는 수업이 될까 고민하시는 모습이 보이셔서 정말 좋습니다. 근데 수업이 자기생각 발표 위주로 가다보니 주입식 성논을 기대하고 오시면 털리고 갈지도..ㅠㅠ 수업 열심히 참여하실분들만 오셨으면 좋겠습니다.,김세종
한학기동안 편하고 좋은 말씀 많이 해주시기는한데,김세종
"글쓰기가 과제,발표,시험인 만큼 자기 생각을 잘 표현해야합니다.",김세종
이런 부분에 취약하시면 학점은 못받는걸로,김세종
진짜 수업은 좋음. 진짜 교수님 핵짱 착하심. 근데 시험을 통으로 외워야되는데 외울게 10개 있다면 시험에 나오는건 3개 이런식임 그래서 통으로 외우지 않으면 학점 빠이,김세종
김세종 교수님.. 진짜 추천드려요ㅠㅠ 제가 4학기 다니면서 들은 수업중에 가장 좋았던 수업이에요. 논어라고해서 고리타분할것 같았는데 그런 걱정 싹 없애주신...! ,김세종
우선 수업은 매주 5,김세종
"6명의 발표로 진행됩니다 개인발표에요!정해진 날짜까지 발표문 아이캠에 올리는거고, 그걸 토대로 다음 수업시간에 한명당 10",김세종
15분 의 시간동안 앞에서 발표하는거에요! 발표주제는 매주 논어 주제에 따라 다르고,김세종
매주 논어책챕터 하나씩 읽어가야해요 ,김세종
교수님이 3가지 논점을 주시면 그중에 골라서 자신의 생각 발표하는거였어요!  난해한 논점을 주시는게 아니라 누구나 생각하기 쉬운 그렁 것들을 주시기 때문에 부담되지않아요,김세종
" 발표가 끝나면 그자리에서 발표자의 발표에 대한 토론을 할수있어요!! 공감한다거나 이견있다든가.. 발표듣다보면 흥미로운 부분이 많이 생기고 해서 토론도 활발하게진행돼요! 2시간이 훌쩍 가서 교수님이 강의하시는 시간은 얼마 안되지만, 중요한 부분, 교수님의 생각들을 말씀해주실때가 있어요!",김세종
  과제는 토론문을 아이캠에 올리거나 수업시간에 토론참여 2회이상하는 거구요 발표는 한번입니다! 필수에요,김세종
" 안하면 점수깎여요!! 중간 기말은 같은 유형이에요. 6문항 정도 논어구절을 한자로 주시는데 그거 해석하는거랑, 논술하는 문제 하나입니다! 논어구절해석은 어쩔수없이 암기ㅠㅠ 중간은 쉬웠고 기말은 조금 어려웠어요! 논술문제는 평소 발표 논제랑 비슷해서 그냥 수업시간에 발표 잘들으면 될거같아요",김세종
 자기생각 쓰는 문제예용! 결석할 수 있는 찬스가 한번있고 ,김세종
 전 썼어요ㅎㅎ,김세종
" 지각 절대하지마세요ㅠ 논어과목자체가 점수 차이를 크게 낼수있는  게 아니라서 지각이나 결석하면 점수가 훅 깎일거예요!저는 진짜 발표하고 토론하는 수업방식이 너무 재밌어서 참여열심히하고, 시험준비도 무난하게 하니까 에이쁠 떳어요! 비율은 다 채워주시는거같아요!! 다른 학우들의 생각들을 들을수있어서 재밌었고, 교수님이 너무 좋으셔서 ..ㅠㅠ 다음에 청강이라도 한번 하고싶어요",김세종
! 추천합니다!!,김세종
교수님이 학생들을 존중해주시는게 느껴지는 수업. 과제 주제도 학생들과 상의해서 학생들이 더 관심 있는쪽으로 정해주심.  시험은 한문 해석과 생각쓰기가 있는데 준비하는 데 오래걸리지 않으며 한문 해석만 좀 외워가면 다 쓸 수 있음. 생각쓰는 논술형문제는 자기 생각을 논리적으로 펼칠 수만 있으면 됨. 이번학기에는  5분 내외 개인 발표 1번과 다른 학생의 발표에 의견을 제시하는 토론 2번이 필수 였음. 발표문은 미리 아이캠퍼스에 올려놓아야 하고 토론은 수업시간에 하기 힘들면 발표문에 댓글로 달면 됨. 성균논어는 김세종 교수님 수업으로 듣는 것을 추천!,김세종
교수님 마음이 너무 따뜻하십니다. 학생들에게 관심도 많으시고요. 학생들과 토론,김세종
정식 토론이 아니라 발표 듣고 문답,김세종
 위주로 수업을 나가는데 다른 학우들의 생각도 들을 수 있고 교수님께서 생각 들려주시는 게 특히 유익했습니다. 단순히 논어 자체로 수업하지 않아 좋습니다.,김세종
교수님의 견해를 들을 시간이 더 많았으면 하는 아쉬움이 살짝 있긴 합니다.,김세종
"정말 4학기 다니면서 최고로 좋은 교수님이셨습니다. 학업부담도 거의 없고 교수님이 학생들을 정말 잘 배려해주십니다. 학생들에게 거의 부담스러울 정도로 존중을 표하십니다. 인간적인 존경심이 들 정도로 좋으신 교수님입니다. 중간, 기말 때 한자 외우는 것이 좀 부담스럽긴 하지만 한자만 달달 외워가시면 시험 자체는 평이합니다.",김세종
반수하면서 듣느라 진짜 공부도 많이 못하고 수업 참여도 많이 못했는데 비쁠 나왔어요! 좀만 공부하면 다 쁠달아주셔서 에이쁠 달기도 쉬울 것 같습니다. 시험도 평이하게 나오고 수업도 발표 한번 토론 두번만 하면 되서 어렵지 않아요. 그리고 논어 내용을 머릿속에 막 집어 넣는 그런수업이 아니라 논어 책을 토대로 생각해볼 거리도 많아지고 교수님의 의견 제시도 도움이 많이 됩니다. 교수님 성격도 무지 좋으시고 강추해요. 말그대로 교양수업이고  부담 없는 수업입니다!,김세종
수많은  논어수업 중에서 김세종교수님의  논어수업을 들은건 이번 학기 최고의 행운이 아닐까 생각이 들 정도입니다. 학점 과제 등 모든 것을 떠나서 나 자신을 돌아보고 다른 사람의 생각을 들어볼 수 있는 소중한 시간이었습니다. ,김세종
지나가던 에이쁠이,김세종
진짜 갓세종님이세요.. 무조건 들으세요!,김세종
"저희는 토론2, 발표1, 과제1, 시험2 이렇게였는데",김세종
과제는 인의예지 관련해서 자유롭게 주제 선정해서 에이포 한페이지정도만 쓰면 되구요 ,김세종
토론이라는 것도 수업시간에 다른 학우분들 발표하시는 거 듣고 손 들고 질문하시거나 추가의견 자유롭게 말씀하시면 됩니다.,김세종
만약 부끄러우시다면 아이캠퍼스에 글로 쓰시면 돼서 절대 부담감 없으실거에요!,김세종
"발표는 출석부 순서대로 매주 5명씩 하는데, 많이 준비해야하는 것 없고 성균 논어 교재 ",김세종
 교수님이 제시하시는 생각할주제 ,김세종
"아이캠에 올려주세요, 매주 달라져요",김세종
에 따른 자신의 내용을 자유롭게 말씀하시면 돼요. 이 또한 한 학기에 한 번 밖에 없어서 별로 부담감 없어요! 정말 부족한 발표여도 교수님은 좋다고 말씀해주시고 귀 기울여주십니다 천사세요 진짜.. 학생들을 정말 배려 많이 해주시고 존중해주십니다.,김세종
"시험은 중간 기말 다 있구, 논어 내용 한자 해석 ",김세종
 서술형 이렇게 나와요! 둘 다 어렵지 않으실거에요 한자는 그냥 달달 외우시면 되고,김세종
중간 때 무지 쉬웠고 기말은 평범했어요,김세종
", 서술형은 자신의 생각 정성껏 쓰시면 돼요ㅋㅋㅋ 어려운 문제 안나오구요! 수업 시간 때 했던 내용이랑 비슷하게 나오니까 걱정 마세요.",김세종
여러분 논어는 무조건 이 교수님꺼 들으세요 ㅠㅠ 저희는 영화도 보여주셨었구요! 한 학기에 한 번 결석 찬스도 있었어욬ㅋㅋㅋ 강추합니다,김세종
!,김세종
갓세종님 성균논어를 씹어드셨습니다.  매우 친절하시고 수업도 유익하고 재밌고  과제 토론 등도 많지 않아 편하고 시험공부하기도 많이 수월하고 학생들 배려도 많이 해주십니다. 이만 지나가는 씨쁠이,김세종
"교수님께서 학생들을 많이 배려해주십니다. 밑에 분이 쓰신 것처럼, 학생들을 한 명 한 명 독립된 인격체로 대해주세요! 그리고 수업구성에 있어서도 학생들에게 참여의 여지를 많이 남겨주세요.. 정말 민주적이고, 자율적입니다. 수업시간에 참여를 많이 할수록 점수를 잘 주시는것 같아요ㅎㅎ 아 그리고 가끔 청강하러 오시는 분들도 있어요!. 과제도 재미있어요. 특정 주제에 대한 글쓰기가 대부분인데, 자기 생각을 정리하기도 하고 이걸 발표해서 수업시간에 타 학우분들과도 의견을 교환할수 있어 좋아요. 시험은 한자를 좀 알면 진짜 편해요. 논어 구절 해석하는 시험인데, 암기를 위한 암기도 아니라 왠지 이거 중요한것 같다 하는 부분이 주로 나옵니다. 자잘하게 안 나와요. 나머지는 특정 주제에 관한 글쓰기, 논술형입니다. 이 부분은 조리있게 본인 의견을 풀어 쓰면 됩니다. 쉬워요!  이번학기 들은 교양과목 중 최고!",김세종
